age,gender,district,monthly_income,ridehailing_app,p_pickmepreference,p_pickmepurpose,p_pickmefrequency,p_pickmevehicle,p_pickmetime,p_pickmepayment,p_pickmepass,u_uberpreference,u_uberpurpose,u_uberfrequency,u_ubervehicle,u_ubertime,u_uberpayment,u_uberone,b_preference,b_switchingfrequency,b_purpose,b_frequency,b_time,b_pickmevehicle,b_ubervehicle,b_paymentmethod,b_pickmepass,b_uberone,Cluster,cluster_label
18-25,female,colombo,"less than lkr 50,000",uber only,,,,,,,,"i’ve had bad experiences with pickme, better availability in my area, more frequent promotions or discounts","school or education, weather, special occasions, emergencies",monthly,tuk,don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,"better availability in my area, easier-to-use app interface, more frequent promotions or discounts","comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,"tuk, car","morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,comfort and convenience,daily,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 100,000 – 149,999",uber only,,,,,,,,"i’ve had bad experiences with pickme, uber offers shorter wait times, easier-to-use app interface, affordable fares, reliable service, good driver behavior, transparancy","comfort and convenience, shopping errands",weekly,"tuk, moto","evening (4 pm - 7 pm), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, specific features (e.g., uberxl, pickme tuk-tuks)",often,"comfort and convenience, lack of public transport options, social or leisure activities, weather, group travel, special occasions",weekly,don't have a specific time,"tuk, flex",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",often,"comfort and convenience, shopping errands, weather",weekly,"morning (7 am - 10 am), late night (10 pm - 3 am)","tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"less than lkr 50,000",uber only,,,,,,,,uber offers shorter wait times,"comfort and convenience, lack of public transport options, social or leisure activities",weekly,tuk,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am), school hours (6 am- 7 am & 1 pm - 3 pm), don't have a specific time",cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"less than lkr 50,000",uber only,,,,,,,,"better availability in my area, reliable service, good driver behavior, transparancy","commuting to work, shopping errands, weather, emergencies",occasionally,"tuk, minivan",don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,male,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,special occasions,occasionally,"tuk, mini",don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,"lack of public transport options, group travel, emergencies",occasionally,don't have a specific time,"tuk, car","tuk, zip",cash,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"less than lkr 50,000",pickme only,"pickme has shorter wait times, better availability in my area, reliable service, good driver behavior","social or leisure activities, group travel",monthly,tuk,"morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime",often,"comfort and convenience, lack of public transport options, weather, group travel",weekly,don't have a specific time,"tuk, bike, car","tuk, zip, moto",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 150,000 – 199,999",pickme only,"better availability in my area, more frequent promotions or discounts, affordable fares","social or leisure activities, school or education",weekly,"tuk, bike, car",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,"comfort and convenience, shopping errands, group travel, special occasions",weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car, minivan",tuk,card,no,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",uber only,,,,,,,,affordable fares,comfort and convenience,occasionally,tuk,evening (4 pm - 7 pm),card,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,prefer not to say,pickme only,i’ve had bad experiences with uber,emergencies,occasionally,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,lack of public transport options,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,driver quality differences,always,commuting to work,weekly,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,cash,no,yes,0,Flexible Weekly Dual-App Users
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"specific features (e.g., uberxl, pickme tuk-tuks)",rarely,lack of public transport options,weekly,late night (10 pm - 3 am),car,minivan,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks), driver quality differences, urgency or convenience",often,"comfort and convenience, lack of public transport options, social or leisure activities, school or education, healthcare appointments, special occasions",weekly,don't have a specific time,"tuk, car","tuk, moto",cash,yes,yes,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,rarely,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, special occasions, emergencies",weekly,don't have a specific time,"tuk, car, mini",tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
18-25,male,colombo,prefer not to say,uber only,,,,,,,,වෙන කරන්න දෙයක් නැති නිසා,school or education,daily,tuk,don't have a specific time,cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",always,"comfort and convenience, lack of public transport options, healthcare appointments, weather, group travel, emergencies",occasionally,morning (7 am - 10 am),tuk,tuk,both cash & card,no,yes,0,Flexible Weekly Dual-App Users
46-55,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,low charges and safety,rarely,shopping errands,occasionally,don't have a specific time,"tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,when one app has service downtime,never,group travel,occasionally,evening (4 pm - 7 pm),"tuk, car",zip,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",uber only,,,,,,,,more frequent promotions or discounts,school or education,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, when one app has service downtime, geographic coverage differences, urgency or convenience",rarely,comfort and convenience,occasionally,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm)","tuk, car","tuk, minivan",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,comfort and convenience,occasionally,don't have a specific time,"tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,pickme only,"better availability in my area, easier-to-use app interface, more frequent promotions or discounts, reliable service","comfort and convenience, shopping errands, school or education, weather",weekly,tuk,"morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",always,"comfort and convenience, lack of public transport options, social or leisure activities, weather, special occasions, emergencies",weekly,don't have a specific time,"tuk, bike, car","tuk, zip, moto",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, specific features (e.g., uberxl, pickme tuk-tuks), driver quality differences, urgency or convenience",always,"comfort and convenience, lack of public transport options, school or education, special occasions, emergencies",weekly,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm)","tuk, car",tuk,both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 300,000 or more",pickme only,"pickme has shorter wait times, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, good driver behavior","comfort and convenience, lack of public transport options, weather, group travel, emergencies",weekly,"tuk, car, mini","morning (7 am - 10 am), late night (10 pm - 3 am)",cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 100,000 – 149,999",pickme only,pickme has shorter wait times,lack of public transport options,occasionally,"tuk, car",office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, driver quality differences",often,"comfort and convenience, healthcare appointments, weather, emergencies",monthly,don't have a specific time,"tuk, car, mini","tuk, zip",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,prefer not to say,uber only,,,,,,,,"better availability in my area, more frequent promotions or discounts, affordable fares, reliable service",school or education,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,rarely,comfort and convenience,weekly,morning (7 am - 10 am),tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, urgency or convenience",always,"comfort and convenience, social or leisure activities, school or education, emergencies",daily,don't have a specific time,tuk,"tuk, zip",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 100,000 – 149,999",pickme only,"i’ve had bad experiences with uber, easier-to-use app interface, reliable service, good driver behavior","comfort and convenience, special occasions",occasionally,"tuk, car, flex",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",often,"comfort and convenience, shopping errands, school or education, healthcare appointments, special occasions, emergencies",weekly,don't have a specific time,"tuk, car","tuk, zip",both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,"weather, group travel, emergencies",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)",tuk,"tuk, premier",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, driver quality differences",often,"lack of public transport options, emergencies",weekly,don't have a specific time,"tuk, bike",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"lkr 100,000 – 149,999",pickme only,affordable fares,comfort and convenience,occasionally,"tuk, car","morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, specific features (e.g., uberxl, pickme tuk-tuks), driver quality differences, urgency or convenience",often,"comfort and convenience, shopping errands, emergencies",daily,"morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car","tuk, zip, premier",cash,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 300,000 or more",uber only,,,,,,,,"uber offers shorter wait times, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, good driver behavior","comfort and convenience, shopping errands, school or education, weather, group travel",daily,"tuk, zip","morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime",often,"comfort and convenience, social or leisure activities, group travel, special occasions",weekly,don't have a specific time,"tuk, car","tuk, zip",card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
46-55,female,colombo,"lkr 300,000 or more",uber only,,,,,,,,better availability in my area,comfort and convenience,daily,"tuk, zip","morning (7 am - 10 am), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"less than lkr 50,000",pickme only,"better availability in my area, more frequent promotions or discounts, affordable fares, transparency","comfort and convenience, special occasions, emergencies",weekly,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,rarely,"comfort and convenience, lack of public transport options, emergencies",weekly,late night (10 pm - 3 am),"tuk, bike, car","tuk, zip, minivan",both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 50,000 – 99,999",pickme only,"pickme has shorter wait times, better availability in my area, reliable service, good driver behavior","comfort and convenience, shopping errands",weekly,"tuk, bike","late night (10 pm - 3 am), school hours (6 am- 7 am & 1 pm - 3 pm)",cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,"i’ve had bad experiences with pickme, better availability in my area",comfort and convenience,monthly,"tuk, zip",don't have a specific time,cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",always,"weather, group travel, emergencies",weekly,"morning (7 am - 10 am), evening (4 pm - 7 pm)",tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,comfort and convenience,weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car","tuk, zip",both cash & card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"less than lkr 50,000",uber only,,,,,,,,affordable fares,comfort and convenience,daily,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
46-55,male,colombo,"lkr 300,000 or more",pickme only,better availability in my area,comfort and convenience,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,"better availability in my area, affordable fares, reliable service","lack of public transport options, special occasions, emergencies",occasionally,"tuk, zip, minivan","morning (7 am - 10 am), evening (4 pm - 7 pm)",both cash & card,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,"better availability in my area, transparency","shopping errands, group travel",monthly,tuk,"morning (7 am - 10 am), late night (10 pm - 3 am)",both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",always,"social or leisure activities, weather, special occasions",occasionally,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car","tuk, zip",both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
36-45,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",often,"comfort and convenience, lack of public transport options, shopping errands, school or education",weekly,don't have a specific time,"tuk, flex, mini","tuk, zip",cash,yes,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,easier-to-use app interface,comfort and convenience,monthly,"tuk, car",evening (4 pm - 7 pm),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 300,000 or more",pickme only,"better availability in my area, easier-to-use app interface, reliable service, good driver behavior, transparency","comfort and convenience, special occasions",monthly,"tuk, car","office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",often,"comfort and convenience, lack of public transport options, shopping errands, weather, group travel, special occasions, emergencies",weekly,don't have a specific time,"tuk, car","tuk, zip",both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,pickme only,"better availability in my area, easier-to-use app interface, affordable fares, reliable service","comfort and convenience, lack of public transport options",occasionally,"tuk, car","morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",always,"comfort and convenience, weather, special occasions",weekly,don't have a specific time,"tuk, bike","tuk, moto",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,"comfort and convenience, lack of public transport options, group travel",weekly,don't have a specific time,"tuk, bike, car","tuk, zip, moto",both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences",often,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",occasionally,don't have a specific time,"tuk, car","zip, premier",cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"lkr 150,000 – 199,999",pickme only,i’ve had bad experiences with uber,"special occasions, emergencies",monthly,tuk,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",often,"comfort and convenience, lack of public transport options, special occasions, emergencies",occasionally,don't have a specific time,"tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,when one app has service downtime,often,lack of public transport options,occasionally,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, bike",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"less than lkr 50,000",uber only,,,,,,,,"i’ve had bad experiences with pickme, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares","comfort and convenience, lack of public transport options, shopping errands, special occasions",weekly,"tuk, zip, premier, moto",don't have a specific time,both cash & card,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,"comfort and convenience, lack of public transport options, shopping errands, school or education, weather",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car, flex","tuk, zip",both cash & card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences, urgency or convenience",often,"lack of public transport options, social or leisure activities, shopping errands, school or education, healthcare appointments, weather, special occasions",daily,don't have a specific time,"tuk, car, mini","tuk, zip",card,no,yes,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 100,000 – 149,999",pickme only,easier-to-use app interface,comfort and convenience,occasionally,tuk,late night (10 pm - 3 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks), driver quality differences, urgency or convenience",often,"comfort and convenience, social or leisure activities, commuting to work, shopping errands, weather, group travel, emergencies",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, car, flex",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,prefer not to say,colombo,"less than lkr 50,000",pickme only,"affordable fares, reliable service, good driver behavior","comfort and convenience, lack of public transport options, healthcare appointments, emergencies",daily,"tuk, car",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,"comfort and convenience, lack of public transport options",weekly,evening (4 pm - 7 pm),tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,always,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, school or education, emergencies",occasionally,don't have a specific time,"tuk, bike",tuk,cash,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,comfort and convenience,weekly,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,cash,no,yes,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,comfort and convenience,weekly,don't have a specific time,tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",always,"comfort and convenience, lack of public transport options, social or leisure activities, school or education, weather, group travel, special occasions, emergencies",daily,"morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, flex","tuk, zip",both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 150,000 – 199,999",pickme only,"better availability in my area, easier-to-use app interface","shopping errands, group travel, special occasions, emergencies",occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, specific features (e.g., uberxl, pickme tuk-tuks)",often,"comfort and convenience, lack of public transport options, commuting to work",weekly,"morning (7 am - 10 am), evening (4 pm - 7 pm)",bike,tuk,card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,"lack of public transport options, social or leisure activities, special occasions",weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, bike, car",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
36-45,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, specific features (e.g., uberxl, pickme tuk-tuks), driver quality differences, urgency or convenience",often,"lack of public transport options, commuting to work, special occasions, emergencies",weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, flex, mini","tuk, zip",card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks)",often,"lack of public transport options, commuting to work, school or education, special occasions",daily,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, car",tuk,both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 150,000 – 199,999",pickme only,reliable service,school or education,occasionally,tuk,late night (10 pm - 3 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences",always,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,don't have a specific time,"tuk, car, flex, mini","tuk, zip",both cash & card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",always,"comfort and convenience, social or leisure activities",weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, flex","tuk, zip",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",often,"comfort and convenience, lack of public transport options, shopping errands, weather, special occasions, emergencies",daily,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car, flex","tuk, zip",both cash & card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,male,colombo,"lkr 100,000 – 149,999",pickme only,better availability in my area,for the customer visiting ( office work),weekly,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"when one app has service downtime, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks)",often,"comfort and convenience, lack of public transport options, school or education, special occasions, emergencies",occasionally,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, bike, car, flex","tuk, zip",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
